01,1,1,009,***********,16/05/2021,000179999.09,000.70,001259.99,515,921
02,1,1,011,***********,16/05/2021,000121212.91,000.70,007848.49,515,921
03,1,1,012,***********,16/05/2021,000227501.44,000.70,008592.51,515,921
04,1,1,014,***********,16/05/2021,000923911.37,000.70,006467.38,515,921
05,1,1,015,***********,16/05/2021,000068484.21,004.50,003081.79,515,921
06,1,1,016,***********,16/05/2021,000250371.00,004.50,011266.70,515,921
07,1,1,017,***********,16/05/2021,000003600.00,004.50,000162.00,515,921
08,1,1,018,***********,16/05/2021,000024313.21,004.50,001094.09,515,921
09,1,1,019,***********,16/05/2021,000016600.00,000.70,000116.20,515,921
10,1,1,023,***********,16/05/2021,000137792.51,000.70,000964.55,515,921
